,screen_name,text,tweet_id,cluster_pred
0,capitadc,rei e rainha da noite #Emmys https://t.co/UBfddeJCxp,777687815471656961,0
1,REChloex,my tl right now: omfg sarah paulson #Emmys,777687816230805504,1
2,CMongez,Chicos al grano. Denle los #Emmys a los de GOT de una vez.,777687816377630724,1
3,kendrysoto,muy buenoss #Emmys,777687816222437381,1
4,b_bchrist1,Sweet revenge Matt.. SUCK it Jimmy!😊 #Emmys,777687816973148161,1
5,danniiela,Com os dois https://t.co/qxI9kUBcdl,777687817837223936,0
6,winegirl73,"#WomenForTrump 
#Emmys 
#MAGA 🇺🇸 https://t.co/M8bDL0DCrn",777687817031999488,0
7,_ningwulan,&lt;3 https://t.co/R2yYuH3znm,777687819984642048,0
8,mhcovill,😢😢😢 https://t.co/cN8pGNjHiD,777687820072660992,0
9,IsadoraCgn,Melhor coisa que aconteceu agora foi esse diálogo entre o Jimmy e o Matt #Emmys,777687820391571456,1
10,natnat494,💓💓💓 https://t.co/alm9qQNp7E,777687820559200256,0
11,jasonlynch,"The #Emmys surprises continue with Matt Damon, who even cracked up Chris Rock and Jerry Seinfeld.",777687820618047488,2
12,MontM11,"A mi me hace eso y me caigo al suelo, me dan 7 infartos y me muero. https://t.co/suMJN1uSLc",777687820370604032,0
13,johnbonazzo,"""Hey Jimmy, tell your mom I like them apples."" Petition for Matt Damon to host the rest of the show. #Emmys",777687820748152833,2
14,ianckles,não esperava menos de kit harington https://t.co/aivBMGVW9L,777687820609748992,0
15,politics_net,Kate McKinnon thanks Hillary Clinton in #Emmys speech https://t.co/yxhTHNWmFV https://t.co/QT1Yhp4YLl,777687820748087296,0
16,aimster215,John beats the various Jimmy/Jimmy variations.  Well done but next year I would like a Samantha.  #Emmys,777687820425129984,1
17,AmiiTorres_,#Emmys hahaahaahahah el medio troleo de mat damon hahahahah 😅😅😅😅😅😅😅😅,777687821461098496,1
18,ChalkAndCarrots,"Outstanding Variety Series — LastWeekTonight with John Oliver (aka, the new Jon Stewart of the #Emmys) … https://t.co/WhbLUIvPWk",777687820177698818,1
19,itsTrashGawd,Kerry pregnant?!  😐 https://t.co/sdov2kF4uK,777687820970459137,0
20,ConnorLand2,One of the high-profile Southerners totally killin it in Hollywood. Love her #Emmys https://t.co/r8iFYSrL4w,777687821557444608,1
21,EricabsOficial,Não gosto do john oliver #Emmys,777687824250314752,1
22,Shem,"Jimmy Kimmel has been a really good host. Doesn't OVER do it, perfect blend of self depreciating humour &amp; lethal zingers. #Emmys",777687824384479232,1
23,MrsEvans_DL,MEU CORAÇÃO NÃO AGUENTA TANTO SOFRIMENTO #Emmys https://t.co/FxOQQccZHD,777687823210127360,0
24,Zohara_Suhail,Matt Damon showing up on the #Emmys was hilarious haha,777687824141197312,2
25,rvncrtz,"Hahahahahahaha that was fun, Jimmy and Matt. #Emmys",777687824506163200,2
26,outcastreina,"mga anak ko HUhUHuh #proudnanay

ps where tf is mike https://t.co/ljhBS08Q3x",777687824829034496,0
27,miss_the_misery,I will never get sick of the stupid Kimmel-Damon rivalry. 😂 #emmys,777687824686542848,2
28,bild_16,See you're wasting time on these skits. Taking away the time for the winners to thank their people. #Emmys,777687824493674496,0
29,RoaaGharra,Haha @jimmykimmel 😂😂😂 #Emmys,777687824887865348,1
30,juanlombadm,brutal Matt Damon #emmys,777687825433133056,2
31,nouistefani,eu não aguento mais comercial  #Emmys,777687825336692741,1
32,deniishiia,Que guapo se ve #KitHarington en los #Emmys 😍,777687825676316672,1
33,4P_pedro,Nunca he entendido porque esos dos se odian o.O #Emmys,777687825923710976,1
34,Zendt06,So now I wished I'd watched it. https://t.co/Yld7ib8Vs0,777687825668050944,0
35,Aihnia,Loool fucking Matt Damon! #Emmys #emmysporwarner,777687826045558784,2
36,ManoelaPlentz,Eu quero ir nessa festa do #Emmys  só por causa da comida!,777687825588297730,1
37,Studio92,Que todo se detenga!!! #JohnSnow subió al escenario de los #Emmys 👏👏👏 #EmmysEnStudio92 https://t.co/uK4zVNttgs https://t.co/ehR7Hd62zH,777687825441579008,0
38,portalbuzzpop,John Oliver - Melhor talk show!!! #Emmys,777687826460708864,1
39,Antisocialforra,"Todos los que piensen que su vida es una mierda rt
#HoróscopoZino #Capricornio #Emmys #HoroscopoRock",777687828855656448,1
40,loreshit,KAKKAAAKAKAKA https://t.co/MszOqysK8I,777687828679499779,0
41,Samyakd19,@jimmykimmel salvando los #Emmys que buenos chistes,777687829421887489,1
42,JERSTinCASE,HEY @mulaney! WHY AINT YOU AT THE #EMMYS?! YOU WAS NOMINATED!,777687829338005504,1
43,ssmooney,"I hope the Jimmy Kimmel-Matt Damon ""feud"" never dies. #Emmys",777687829518225408,2
44,NoireCarrieB,"Congratulations, @LastWeekTonight and @iamjohnoliver. #Emmys",777687829690408961,1
45,sebocchan,"Quella è la mela di uno shinigami
#Emmys",777687829660983296,1
