,screen_name,text,timestamp,tweet_id,cluster_pred
0,coachaldridge,😂😂😂😂😂😂😂#debates #Debates2016 https://t.co/egKKXquHD6,1474941147453,780585864984399872,1
1,sluttynikka,Donald trump basically saying blacks and hispanics are bad people  #Debates,1474941147805,780585866460745729,1
2,JustEric,We base constitutionality on effectiveness? 😐 #Debates,1474941147718,780585866095947776,1
3,kisita24,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/u8LE29skXz,1474941147784,780585866372808704,4
4,_ElleJohnson,What do you think? Whose winning? #Clinton or #Trump? 😘 #debates #debatenight #PresidentialDebate https://t.co/SQMrmcWzmp,1474941148448,780585869157670912,1
5,MrBrady__,Yal really think the government gonna let the community police themselves ? 😒 gtfoh #debates,1474941148620,780585869879218176,1
6,IanMolony,"Killer Mike
Asks For 90 Seconds
https://t.co/g4wcKSBwnr
#Debates #debatenight",1474941148667,780585870076223493,1
7,Sir_Narwhal,"Neither candidate is really wowing here, which is pathetic since the right side of race issues is so easy to see. #debates #debatenight",1474941148507,780585869405216770,1
8,tobyalan82,Trump: Stop and Frisk! Take guns away! Trump a few weeks ago: HRC wants to abolish the 2nd amendment! #Debates,1474941148729,780585870336397312,2
9,EroticaReview,@realDonaldTrump ... New study 101 !  how to failed to become president of the United States :/  #Debates,1474941148721,780585870302679041,1
10,WeAreDeplorable,God Bless the https://t.co/NjxRaiYiUl https://t.co/rQel4jLPHo,1474941148625,780585869900075008,1
11,In_Spire_Me26,😂😂 https://t.co/Umq72FwUMh,1474941148698,780585870206177280,1
12,Mad_Scientist2,lol @Hillary - Constitutionality has nothing to do with whether something is effective or not  #debates,1474941148648,780585869996621824,0
13,sardonicgeek,"""How would you heal the racial divide, Mr Trump?""
""Bring back a police policy ruled to be racially discriminatory. Duh."" #Debates",1474941148693,780585870185394176,1
14,artificialjinri,Trump looks shook #Debates,1474941148829,780585870755635200,1
15,IraganGarin,"#Debates trump needs to stop talking, hillary needs to go to jail. US needs a better option",1474941148683,780585870143488001,2
16,CaitlinMathes,@realDonaldTrump is not living in our reality! Stop and frisk?!?!   #Debates,1474941148777,780585870537744384,2
17,ant_tea,im never going to stop throwing up #debates,1474941148773,780585870520885248,2
18,erik_miller,On a flight and sadly missing the #debates but based on my Twitter feed I cannot wait to catch up when I land.,1474941148628,780585869912731648,1
19,curt_trombetta,@HillaryClinton @FoxNews Stop and Frisk worked in New York #debates,1474941149670,780585874283122688,2
20,laura_enright,"People love the idea of stop and frisk, unless they're the ones always stopped and frisked. #Debates",1474941149556,780585873804898304,2
21,shmermel,Trump is confident in his misinformed bs which sounds good vs HRC who can't say anything without repeating her robotic message #debates,1474941149369,780585873020743680,1
22,HuntyZeddV,Stop and frisk is not freedom. #America #Debates,1474941149549,780585873775603712,2
23,DespicableBriee,Stop and frisk is gonna help with the relations? Okay... #debates,1474941149619,780585874069319680,2
24,patrapp,Wait...you want to take guns away from bad people?  By that you mean black and Hispanic? You actually said that  #debates 2016,1474941149556,780585873805041664,3
