,geo,screen_name,text,timestamp,tweet_id,cluster_pred
0,,klhrpr,countries are so different to businesses #debates,1474940690692,780583949189787648,1
1,,MaryL1964,#ReleaseTheReturns #debates #debatenight #Debates2016 https://t.co/ZQ1v4FvaBP,1474940690621,780583948892139520,1
2,,_captainmorgs,Here we go y'all .... #Debates,1474940690643,780583948984385537,1
3,,lesliekelly,"""Tens of thousands of people love me"" #narcissist #debates",1474940690684,780583949156265984,1
4,,dome_underthe,Trump laments paying too much for roads. Why aren't all those GOP governors doing better? #debates,1474940690553,780583948606959616,1
5,,cxdesss,"yeah let's talk about race now 
#Debates",1474940690714,780583949282127872,1
6,,Sloopydrew,"Tonight's #Debates was subtitled: ""Two Only A Mother Could Love"" until it was discovered even their mothers didn't love these two. #tytlive",1474940690514,780583948443324416,1
7,,chelseaharfoush,"Oh yes, Dad. Let's talk about race. I have no reason to think this will go poorly. #debates #drafthousedebates",1474940690649,780583949009432581,1
8,,kenzie__macc,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/lBTACO4rOh,1474940690440,780583948132966404,0
9,,davidpowellme,"""We're well behind schedule"" — moderator speak for ""Shut up, Donald"" #debates",1474940690828,780583949760204800,1
10,,rachelrhetoric,"Shortchanging people, circumventing the system, and taking advantage of loopholes is not an working business model for a country #Debates",1474940690703,780583949236043776,1
11,,TheAuraMaster1,Deciding on who to vote for the #debates https://t.co/QeDNiBp2qY,1474940690671,780583949101834242,0
12,,Rujabes,"Lester: ""Let's talk about race"" #debates https://t.co/Fy3u5YTSxf",1474940690220,780583947210149892,1
13,,AnneDeTraglia,Dayum https://t.co/d1vXGC3NmA,1474940690820,780583949726724096,1
14,,Moosejago,Ion get how people don't find politics interesting #debates,1474940691565,780583952851566594,1
15,,metricula,Oh god here comes race #debates,1474940691661,780583953254060032,1
16,,dbaaryj,"""Have you tried Trump steaks? Or had a Trump vodka."" - Donald Trump at the debate. 

#debatenight #debates… https://t.co/bGw2yRn5vw",1474940691655,780583953228963840,1
