,geo,screen_name,text,timestamp,tweet_id,cluster_pred
0,,davfinport,Get him out of there #Debates2016 #debatenight #maga #debates https://t.co/dBkpkmp2mm,1474945565698,780604396446945280,1
1,,Virgilio_Reyes,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/0JimAO4bhQ,1474945565451,780604395411103744,0
2,,Sandiinflorida,@realDonaldTrump Not very good  Presidential Material going into Debate being unprepared. https://t.co/ZfjJwbIJBW,1474945565524,780604395717206016,1
3,,miro_notchev,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/3TIdQJipQb,1474945565718,780604396531056640,0
4,,klacaj,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/bo2XY6BjyZ,1474945565861,780604397130813440,0
5,,christielittle,He's such an Ass Clown! Clinton was Amazing! #ImWithHer https://t.co/xLZID9Eyog,1474945565622,780604396128395264,1
6,,SkyNewsAust,Tom Switzer discusses @realDonaldTrump's position on Islamic State #Debates https://t.co/tguKQp5pmL https://t.co/7Mw065ov11,1474945565888,780604397243949056,1
7,,1stworldslums,@deray I sat they tied with this debate on being WHACK! Both said the SAAAAAME things they've been saying for months #debatenight #debates,1474945565961,780604397550088192,1
8,,AdamUren,"Local news coverage I'm watching post #debates centers on: Emails, birthers and appearance. There were more important issues discussed.",1474945565926,780604397403242496,1
9,,BakerKimmie,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/2Sj5JvLL3O,1474945566690,780604400607727616,0
10,,Patramanis_m,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/QRaDHNGrag,1474945566692,780604400616124416,0
11,,destinywarren32,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/LuqCiAVRBJ,1474945566682,780604400574181377,0
12,"[7.00049, 3.04434]",blackcoin02,"After watching the #debates,wants to know what really matters to you! Take our election survey.#MyVoteCounts #TrumpClintonPresidentialDebate",1474945566654,780604400456835072,1
13,,marleysuzanna,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/NFABmLGHgg,1474945566722,780604400742137857,0
14,,Palomino_Jones,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/kzT58YxvOI,1474945566931,780604401618518016,0
15,,CuriousScout,I was not entertained. #debatenight #debates,1474945566930,780604401614516224,1
