,geo,screen_name,text,timestamp,tweet_id,cluster_pred
0,,angkrieger15,We're really comparing America to a third world country? Please. This is unreal. #debates,1474940714676,780584049786036226,1
1,,Raleighgal64,#debatenight #debates #debatewithbernie https://t.co/0GIfCfPf0x,1474940714293,780584048179699712,1
2,,iamslickrick_,This should be interesting #race #debates,1474940714684,780584049819553793,1
3,,JCFDenton,"Ob boy, race is the theme now #debates #debatenight",1474940714643,780584049647562753,1
4,,_TheOpinion,"DAMN RIGHT, Hil! Damn right, girl. #Debates #debates2016",1474940714651,780584049681141760,1
5,,SoulsticePhotog,How many times is he going to mention 30 years? #Debates #Debate2016,1474940714673,780584049773539328,1
6,,clau1780,Ahora Trump se hace solo un combo breaker #Debates,1474940714690,780584049844822016,1
7,,jimurillo98,"""Let's talk about race"". AND SO IT BEGINS... #debates",1474940714723,780584049983287296,1
8,,riggerx,Under budget cuz you under pay &amp; won't slow your employees to organize. #Debates,1474940714717,780584049958092800,1
9,,anaasts,"I'm #confusada pasamos de los emails a sus impuestos, a las bancarrotas! No entendí ni papa! #debates",1474940714691,780584049848881152,1
10,,Leaderkilla,#Debates oh boy Racist trump incoming,1474940714759,780584050134179840,1
11,,MikKruk,"Focused only on your fam, employees, and companies doesnt mean you'll look after the country Trump...
#debates #debatetonight #debatenight",1474940714669,780584049756762112,1
12,,dt2chow,"We tuned in to watch some #Debates, not a Trump brand free advertising pitch",1474940714649,780584049672847360,1
13,,jackiefox12,I knew he couldn't get through this without saying people love him. Surprised he hasn't hauled out his polling numbers yet. #debates,1474940714826,780584050415116288,1
14,,DaTaxiDriver,"Trump has valid points.But he gets excited pretty early !  #debatenight #USPresidentialDebate
#debates LIVE #FirmaDeLaPaz #Clinton #debates",1474940715657,780584053900578817,1
15,,jeffedelstein,Trump better be careful here on race. He might lose his black vote. All three of them. #debatenight #debates,1474940715595,780584053640720385,1
16,,thanatos1231,Oh great.  2 white people talking about race. #Debates,1474940715715,780584054143934464,1
17,,LMRF929,"Literally cannot catch his breath.
#Trump #debatenight #debates #Debates2016 https://t.co/k86Rc23fVN",1474940715355,780584052633939969,1
18,,touchitorgasm,Race... shit got real #Debates,1474940715628,780584053779103744,1
19,,MSDVisuals,This is what I want to here about: RACE. lets see what y'all got. #debates,1474940715289,780584052357206016,1
20,,Johnny5024,Is #Hillary depressed or medicated? #Debates #Debates2016 #DebateNight,1474940715457,780584053061906432,1
21,,JCitzzz,"#debates @realDonaldTrump just LIED!
LIAR LIAR!! 😂 https://t.co/rOSybQygMb",1474940715361,780584052659073024,1
22,,dmann11,WWE Raw is more true than what comes out of this clown's mouth #Debates,1474940715757,780584054320082944,1
23,,CSPAN_junkie,oh boy who wants to bet trump says a racial slur #debates,1474940715680,780584053997182976,1
24,,JohnnyFoxRox,"THATS BECAUSE WE ARREST TERRORISTS YOU FOOL

#debates #debatenight #Debates2016 #HillarysBubble",1474940715706,780584054106234880,1
25,,brandonsaloy,Lester is killing it with the segues tonight #debates,1474940715713,780584054135619584,1
26,,EddieVill5,This is what a lot of people were waiting for. #racerelations #debates,1474940715814,780584054559125504,1
27,,andreazelinski,"Trump about opening a hotel near the White House: If I don't get there one way, I would get there another. #debates",1474940715907,780584054949187584,1
28,,herschel_matan,#debates Look at Syria for how Hillary handles situations https://t.co/90bvLeVpH4,1474940716302,780584056605908992,1
29,,GAburub,"Now comes the interesting part... race.
#Debates2016 #debates",1474940716454,780584057243521024,1
30,,Activist777mg,Here we go neither one uas anything to say about race relations they will never get it so just move on. Next question! #Debates,1474940716700,780584058275364865,1
31,,ZestyAroma,I really enjoy how little fact checking goes on during this debate. This definitely isn't a shouting match. #debates #debatenight,1474940716559,780584057683873794,1
32,,GaddisCorp,"(Fasten Seat Belts light comes on)
#race #debates #debatenight #Debates2016",1474940716727,780584058388492288,1
33,,2PositiveTweets,"""Race still determines too much."" This is so true. #CNN #debates #PresidentialDebate",1474940716559,780584057683972096,1
34,,fwscouter,Race is a progressive scam. #Debates,1474940716581,780584057776148480,1
35,,joolia,Genius. https://t.co/jn4WsC7d0E,1474940716659,780584058103431169,1
36,,mrkdds,Does Trump know there is Google? #debatenight #debates,1474940716422,780584057109409796,1
37,,SunAndSarah,The newest South Park episode is actually happening. https://t.co/zu9AGebPRJ,1474940716619,780584057935572992,1
38,,JHFonseca,LOL #DebateNight  https://t.co/tBbEpRcG3x,1474940716656,780584058090815491,1
39,,Liya_Bia,Here we go come on HILLARY come home...THIS IS WHERE YOU CAN SHINE #Debates,1474940716677,780584058178994176,1
40,,jstrae,Let's talk about that Criminal Justice Reform Hillary #debates,1474940716732,780584058409611264,1
41,,BBCFRCH,"@HannahThibedeau 

Fox is a Bilderberg puppet, don't quote him!

He is advocating borderless North America!… https://t.co/HyqJP1yuGQ",1474940716393,780584056987594753,1
42,,LeoYarur,Chavos ando vendiendo empanadas  #Debates,1474940717675,780584062364753920,1
43,,LodgeboyWork2,Talking a whole bunch of bullshit https://t.co/K3aI5zabF7,1474940717586,780584061991587840,1
44,,NikRph,@travelingmoms #TMOM #Debates2016 #debatenight #debates yes we r very much behind the times with our updates in airports,1474940717399,780584061207207940,1
45,,SpencerAhrendt,#debates #debatenight https://t.co/ghZELBjdEk,1474940717719,780584062549315584,1
46,,JCHallowell,"Does #Trump sound like an idiot during the whole thing, or is he relatively competent when #Raw isn't at commercial? #Debates",1474940717702,780584062478127104,1
