,screen_name,text,timestamp,tweet_id,cluster_pred
0,selinamb,"""I developed really, really good relationships with black people over the last little while, wouldn't you agree?"" -@realDonaldTrump #debates",1474941851720,780588818894319616,1
1,Rosagrazz,Omg 🙈 she's  backslapping him now 😂 1 night I'm good 🙌🏼 #itsAWrap #PresidentialDebate #debatenight #debates,1474941851700,780588818810466304,1
2,TheOtherGuy15,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/0Pj3jiMjPP,1474941851671,780588818688774144,0
3,asapchu_,bc he won't even listen to the question https://t.co/4fJ4CWEw76,1474941851712,780588818860650497,1
4,jossdean,Call for what he is... a bigot! #debates #debatenight #nevertrump,1474941851592,780588818357420034,1
5,ZJay_Justin,This segment about race...#debatenight #debates #Debates2016 https://t.co/cREBRqivBP,1474941851054,780588816100753408,1
6,mommac1g5b,It is a bad thing to insist our President is legitimate? At least someone cares about our laws. #debatenight #debates  #Debates2016,1474941851604,780588818407776256,1
7,LifeofKiaChanel,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/6HbCFzbI7t,1474941851606,780588818416095232,0
8,oskyefall,YES HILLARY CALL HIM OUT FOR HIS RACIAL PROFILING AGAINST OUR CURRENT PRESIDENT YES #debates #debatenight,1474941851815,780588819292749824,1
9,glowinbih,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/EiajJ7jaVB,1474941851737,780588818965602304,0
10,The_Paul08,Omg. I had NO clue he refused to rent to African Americans... wow #Debates #DebateNight,1474941851838,780588819389161472,1
11,kevxcal,True. https://t.co/fAu15x2Unu,1474941851797,780588819217207296,1
12,ZiggsZiggy,How is asking questions about someone's origins racist? #debates,1474941851850,780588819439648768,1
13,jackTweets11,"HAHAHAHAHAHA 😂😂😂

Trump did a ""great service"" having Obama produce his birth certificate?  How can you take this guy seriously?
#debates",1474941852563,780588822430187521,1
14,loumonaco,Even these guys are laughing at these two! #Debates https://t.co/zNnUohHBr6,1474941852405,780588821767413760,1
15,howowlsattack,#speakuplester #debates,1474941852663,780588822849523713,1
16,BernieBras,Bernie: Absolutely disgraceful! #debates,1474941852637,780588822740492288,1
17,hoIystin,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/CZgUudaWnI",1474941852489,780588822119800832,0
18,gowriabhaya,"Donald Trump, now I have a long list of all the great things you did, can you say one thing you went wrong. #Debates",1474941852646,780588822778130432,1
19,briasoboojie,The birther witchhunt was 100% racially driven. I think Trump is blatantly racist to appeal to idiot voters #Debates #debatenight,1474941852746,780588823197560832,1
20,Shane106320,"#debatenight
#Debates2016 
#debates https://t.co/dnANM9lUXF",1474941852345,780588821515759617,1
21,liv_pozzi,🙌🏼🙌🏼🙌🏼🙌🏼 https://t.co/dMgwneikVa,1474941852484,780588822098829315,1
22,TravRuiz,Clinton talks about birther issue saying it hurt Obama to hear it. #Debates,1474941852424,780588821847105536,1
23,Two_Cams25,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/XY7uSNm5qr",1474941852667,780588822866202624,0
24,DCXn24Fan,A long record of racism. Bingo! #Debates,1474941852721,780588823092703232,1
25,FitsumM,"@HillaryClinton ""Just listen to what you heard"" #Debates",1474941852618,780588822660845569,1
26,Shadykayyy,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/27pj3XzimD,1474941852690,780588822962835456,0
27,mrtom28,"Picking between Trump and Hillary is like choosing who you'd rather steal your wife.

#debates #Debates2016",1474941852698,780588822996353024,1
28,HOLLYJBIRD,Who cares you are so right @GovGaryJohnson we need you to show them what is important! Not about a birth certificat… https://t.co/v9GlbKrODO,1474941852534,780588822308360192,1
29,madisonjobsx,Once again @realDonaldTrump proves he should not run America. These #debates have really made my choice of @HFA an easy one.,1474941852741,780588823176544256,1
30,notcameronleo,"""I prepared to be president."" #debates https://t.co/bTOGTxypDP",1474941852939,780588824007176192,1
31,AllisonAnntayl1,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/MmN68f2evr,1474941853620,780588826863501312,0
32,sampark42,"Donald Trump talks about the African American and Latino communities like strange, alien, gun wielding groups of criminals #Debates",1474941853804,780588827635126272,1
33,pedroflash,"""Just listen to what you heard""
-HRC
#debates #debates2016",1474941853697,780588827186388993,1
34,scag89,"""Over the last....little while"" What,you got high with three guys last week? 😂#debatenight #debates #Debates2016",1474941853664,780588827047972864,1
35,Brentus88,"""The birther lie was a very hurtful one."" @HillaryClinton #Debates #DebateNight",1474941853837,780588827773538304,1
36,jqbilbao,He has really started his political activity based on this racist lie - Clinton on Trump's Obama birth cert role #debatenight #debates,1474941853688,780588827148750849,1
37,bakerlbeulah,Why should he produce his birth certificate in the first place.#Debates,1474941851303,780588817145335810,1
38,SharpenedPixel,She's right. And you can see it on Trumps face. #Debates,1474941853625,780588826884472832,1
39,Ingenieux,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/kLWIDYbt5g,1474941853581,780588826699915266,0
40,ShivaniPatel23,OOOOOO KILLEM HILARY  #Debates,1474941850097,780588812087025664,1
41,asimone3983,"Trump on Birth Certificate:  ""I think I did a good job. I did a great service"" You used racial bias for attention #nicetrytrump #debates",1474941854693,780588831363915777,1
42,debiecrutcher,Questioning about Obama's birth certificate is totally irrelevant to this debate #Debates,1474941854710,780588831435137025,1
43,FolioMel,Trump is flustered. Stuttering and mumbling and shit. Is he on drugs? #debates #Debates2016 #debatenight,1474941853559,780588826607685632,1
44,daycoppens,"""I got him to produce his birh certificate""
By participating in the birther movement you dolt.
#debates #shutup",1474941854674,780588831284224000,1
45,TheRealVisions,This is going to be a long night #debatenight #debates,1474941854720,780588831477116928,1
46,marcslove,DRAG HIM!!!!!!!!!!!!!!!!!!!!! #debates,1474941854664,780588831242264577,1
47,mmcipriani,No words. Trump satisfied over POTUS birth certificate but I'm not satisfied over his tax returns. #birtherism #debates #trumpsucks,1474941854623,780588831070359553,1
48,_juliawolfff,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/J3W22SkiS2,1474941854738,780588831552790529,0
49,CarolynMcC,"So @realDonaldTrump has been sued twice for engaging in racist behavior. @HillaryClinton #debates (So that explains ""the last little while"")",1474941854699,780588831389003778,1
50,sh0rtchica,"If my 7-yr-old son says ""she started it"" about his little sister I say ""I don't care you know better."" #debates https://t.co/1bbsxOCKVr",1474941854542,780588830730706947,1
51,posemani,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/BHU4lN5tH3,1474941854750,780588831603093504,0
52,stuartdedmonds,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/zSor39e1Mo,1474941854769,780588831682682881,0
53,danibostick,"Housing discrimination. BOOM! And, she prepared for the debate! BOOM! #debates #debatenight #Debates2016",1474941854782,780588831737192448,1
54,yasmine_laa,"You do really ""say nothing"" @realDonaldTrump #debatenight #Debates",1474941854961,780588832487985152,1
55,Zelda23Pinwheel,#ImWithHer #debatenight #debates  https://t.co/SLeNQy2evn,1474941855564,780588835017064448,1
56,IamFintan,He developed a great relationship with the African American community 😂 #Debates,1474941855642,780588835344310272,1
57,htttpflawless,Hilary brought out the receipts #Debates 👏🏼👏🏼,1474941855649,780588835373584384,1
58,dbaaryj,"Wow. The HUD throwback. Clinton going back with deep cuts. Ow.

#debatenight #debates #Debates2016",1474941855736,780588835738497024,1
59,sharibewry,@BBCWorld how many years has isis been around @realDonaldTrump thinks 40+years sombody educate him #debatenight #debates,1474941855625,780588835272916992,1
60,ProfCAnderson,Got him to produce the birth certificate and I did a good job. He should have produced it a long time ago.  Un-doggone-believable. #debates,1474941855550,780588834958483457,1
61,DrFunmbiE,“He has a long record of engaging in racist behavior and the Birther lie was a very hurtful one.”  #ImWithHer #debates,1474941855704,780588835604467712,1
62,lynoralargent,You go @LesterHoltNBC https://t.co/pFgx6eC8sC,1474941854847,780588832009949190,1
63,OmarjSakr,"LESTOR: Senator Clinton, your response.
CLINTON: Well, listen to what you just heard.

Calling it now, own of the year. #Debates",1474941855756,780588835822379008,1
64,SergioGorno,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/JmPFtGDf58,1474941855607,780588835197640704,0
65,KFOXREVOLUTIONS,"Trump keeps saying ""The politicians"" in a negative way.
You're running for president, Donald! You're a politician too!
#debatenight #debates",1474941855624,780588835268767744,1
66,ryanPRprince,"So to recap Clinton's stance thus far: harder on earners, softer on crime? Yikes #debatenight #debates",1474941855708,780588835621048320,1
67,DenSeguinHorth,My eyeballs hurt from all the eye rolling...  #Debates,1474941855748,780588835788816384,1
68,CidHall,This is finding an empty carton of ice cream in the freezer bad. #debatenight #debates,1474941855761,780588835843563521,1
69,Jojuana_,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/g8VlnXpE5l",1474941855806,780588836032086017,0
70,BretBaier,.@HillaryClinton The birther lie was a very hurtful one. President Obama is a man of dignity #debates,1474941855760,780588835839377408,1
71,karatewolfpunk,#BroadenTheDebates #Debates #Debates2016 #OccupyTheDebates  #birther https://t.co/WBCZEe37r2,1474941856655,780588839593054210,1
72,HRaisins,I expect Kellyanne Conway to be bald when she appears all over TV tomorrow. She's gotta be pulling her hair out watching this. #debates,1474941856569,780588839232344064,1
73,SkyBill40,The #debates are just a show of utter contempt for one another and a game of who can cut the other the deepest. What a crock of shit. #LMFAO,1474941856686,780588839723081728,1
74,farrmatt,Hillary's like our smart grandma. #debates,1474941856640,780588839530135552,1
75,ltelesreal,Adoro a ironia da Hillary! #Debates,1474941856590,780588839320612865,1
76,alibxll,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/DXWHVyKhgp,1474941856564,780588839211524097,0
77,headlinesWIKI,@realDonaldTrump @HillaryClinton https://t.co/UoFdbF7To0,1474941856715,780588839844798470,1
78,LibbysVoice,Was the birther movement racist or not? #debates,1474941856651,780588839576502272,1
79,roseeebud,"""It can't be dismissed that easily."" -@HillaryClinton on @realDonaldTrump's racism towards our first african-american @POTUS #debates",1474941856772,780588840083791874,1
80,pugs4prez,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/zhRi7xniHI,1474941856657,780588839601659905,0
81,val8952,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/qecvKsfLoL,1474941856775,780588840096530433,0
82,kowlasarmisir,Wow! Donald's career predates my birth! #Debates,1474941856732,780588839916150784,1
83,PriscilRodrig,There goes Donald with the pout #childlikebehavior #debates,1474941857666,780588843833712641,1
84,r_nixie,Trump can NEVER take responsibility for his mistakes. It is always someone else's fault. That's why he's not a leader. #debates,1474941857697,780588843963715584,1
85,TaylorComedy,"When Secretary Clinton talks about ""the first black president"" is she talking about Obama or her husband? #Debatenight #debates",1474941857714,780588844034863104,1
86,clairedyy_cat,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/OxoXZsm2pp",1474941857510,780588843179216896,0
