,screen_name,text,tweet_id,cluster_pred
0,cuatrobastardos,MEJORES ACTORES INVITADOS EN DRAMA: Hank Azaria y Margot Martindale #Emmys #Emmys4B,777690844920942593,0
1,LisbethHanna,Margo Martindale! #mygirl #Emmys,777690844711223296,4
2,TaynaYagami,#Emmys quero Game Of Thrones pelo amor de deussss,777690845302628352,2
3,Sidrat2011,Winter is coming! Game of Thrones is my choice for best drama series in @CoxComm's #Emmys poll! https://t.co/PcyoB92ony,777690845210443777,0
4,sincelouis,rainha de oitnb #Emmys https://t.co/PRT4uiHFMx,777690844556034050,0
5,ItsScooterDuhh,I bet this STILL end up being about beyonce!!!!! #Emmys,777690845914988544,4
6,CyberAnonymous,"CBSNews: RT CBSNewsEnt: Patton Oswalt makes touching reference to late wife in #Emmys speech: ""The other is waitin… https://t.co/VfIYScSYy8",777690845612998657,3
7,format1on,Como as pessoas confirmar Beyoncé e ela na verdade não vai? #Emmys,777690846233845760,3
8,VickyChimento,"¡Bien, un premio para #TheAmericans! #Emmys",777690848037306368,0
9,aliasociety,VEM GOT PORRAAAA #Emmys,777690848343498752,4
10,KateSpencer1,The Americans should win everything since it took so long for nominations. #Emmys,777690848372727812,0
11,starwars531,@KeyAndPeele Great work  boys! #Emmys #Emmys2016,777690848439967744,3
12,LBright94,"Like, I'm about to hit 10,000 steps. If I hit my goal before 8pm, I know who to blame. #Emmys #EmmyForMaslany",777690849073180673,0
13,Senhora_Queen,Seria meu sonho???? https://t.co/vBXzi31zrx,777690848314155008,0
14,malcbenn,Emmys out! Night! #Emmys,777690848943366145,3
15,danni_burgh,ACTRIZ DE REPARTO MARGO MARTINDALE TE AMO #Emmys,777690849178071040,0
16,Melqqqq,"VEM BATTLE OF THE BASTARDS
#Emmys",777690849035550720,1
17,ManuelReis,Como é que o final de Good Wife foi nomeado para isto? Não sei. #Emmys,777690849035640832,3
18,tawhoslf,será q got vai levar? #Emmys,777690848905596928,4
19,spidevrman,VEM MR ROBOT OU GAME OF THRONES #Emmys,777690849400483840,0
20,CyberAnonymous,"CBSNews: RT CBSNewsEnt: Patton Oswalt makes touching reference to late wife in #Emmys speech: ""The other is waitin… https://t.co/K5KCE0b4ab",777690849325027328,0
21,yoncehot,"beyoncé já sabia que ela não ia ganhar, por isso nem foi #Emmys",777690849383768064,0
22,jungleoflooks,"battle of the bastards e hello friend ! 
#Emmys",777690849757040640,1
23,wishdebnam,tenho quase certeza q tatiana vai ganhar. por mais q eu esteja torcendo pra viola e queira mt q ela ganhe sei q tatiana merece tbm #Emmys,777690849966686208,0
24,isalilsand,#Emmys2016: #JaneKrakowski is the new grape vine at the #Emmys #RedCarpet #EmmyAwards #EmmyAwards2016 https://t.co/4VcroyjDA3,777690848880242688,0
25,kisschava,Viendo Los #Emmys 😊🍸🚬,777690850637721600,3
26,YouLoveKimber,"So wait, did #Beyonce ask in advance if she won before even re-routing her jet? 😂😂😂 Shame on #Emmys for even teasing her appearance!",777690852407644160,0
27,catchyourwill,"Guys, what if Fellowes takes it? #Emmys",777690852558835714,0
28,GladiatorNprada,#TheAmericans really needs to win #Emmys,777690852462358528,3
