,geo,screen_name,text,tweet_id,cluster_pred
0,,tequiladojamie,SARAH AGRADECENDO O RYAN #Emmys https://t.co/TG9diIl6Nt,777680992840642561,0
1,,R96RK,This looks like a ball dance from a disney movie #Emmys https://t.co/WfPx2i7B70,777680993469734912,1
2,,TrueBlueAce,She deserves it! https://t.co/ueA1FztuR3,777680993385902081,1
3,,LaurieSeidman,So many 'Woo hoo!' Moments watching #Emmys tonight! #I❤️TV,777680993993969665,1
4,,bignliddle,Ryan Murphy must be like 🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑 tonight #Emmys,777680995554320384,1
5,,AdrianaMarinSh,Me dio antojo de comer PB&amp;J despues de ver esos snacks que dieron en los #Emmys y me fui a preparar uno. #ilovepbj,777680995927678978,0
6,,scrmariia,AI MEU DEUS MINHA RAINHA https://t.co/lcJ9dtPJBr,777680995835346944,0
7,,brnxxa,nem um pouco surpresa que sarah paulson ganhou #Emmys,777680996313554948,0
8,,londapatter1,8NEWS: RT TelevisionAcad: What an #Emmys Moment! Congratulations to ReginaKing  of AmericanCrimeTV for her win as … https://t.co/Ga3oTWuBZn,777680996284133376,1
9,,TheSandMan88,#Emmys ..... https://t.co/l0MrU2zsEi,777680996061761536,1
10,,CulturaColectiv,"Sarah Paulson llegó acompañada de Marcia Clark, personaje que interpreta en The People v.O.J. Simpson #Emmys https://t.co/OQMpgaUspx",777680994778357761,0
11,,JackalopeKisses,Look at this gorgeous goddess slaying that red carpet #Emmys https://t.co/9paXeCGNxu,777680996011483136,1
12,,hrrorstranger,EU TÔ TÃO FELIZ MMNSJSJHFOAJDOSJDSLJDOSJDISJDKSJDI SARAH MERECE MAIS QUE QUALQUER UM #Emmys,777680996565127168,0
13,,Quiwizee,St. Louis represent 🙌🏾 https://t.co/88zPswIi0M,777680996896387072,1
14,,Maycon_myn,TE AMO SARAH #Emmys,777680995961233408,0
15,,brenlavega,AMÉM SARAH!!! DONA DA PORRA TODA RAINHA DA TELEVISÃO AMERICANA TE AMO MÃE #Emmys,777680997106212864,0
16,,radicalxrad,AHHH YAS SARAH PAULSON!! #Emmys,777681000209977344,0
17,,fangirl_es,Diversidad en serio en los #Emmys ganando y nominados actores de todos tipos https://t.co/gugtmJRSfg,777680999480107008,1
18,,Looklive,Awesome #Emmys speech! 🙏,777681000344064000,1
19,,ce_roma,Finally Sarah Paulson took it. What else did she have to do?! #Emmys,777681000725962752,0
20,,sHy_119,This the guy from Army Wives!!! Yo!! That's great! #Emmys,777681000864198656,1
21,,UpbeatFriday,Sarah Paulson's first role was playing the daughter of a murder victim on 'Law &amp; Order.'  #Emmys https://t.co/mFuQ487Tj4,777681000734294016,0
22,,hartfordcourant,"Sarah Paulson, Julia Louis-Dreyfus &amp; Jeffrey Tambor are among the winners at the #Emmys https://t.co/Nd2ioT0lOr https://t.co/yuBFu2F91E",777680992299614208,0
23,,lessentielest,18 nominations per Fargo.. 18! #Emmys,777681000704925696,1
24,,peonyrose321,Guess I need to watch People v OJ Simpson. #emmys,777681000843313152,1
25,,RoundAboutChat,Also making me nervous: John Travolta's face. #Emmys #EmmysPRP,777681000801374208,1
26,,SussuDeMoura,Ai Jesus multiplica essa mulher!!! https://t.co/8l656f77mE,777680999752794112,1
27,,SchenkelTown,Do you think the real OJ Simpson is celebrating all these wins in his cell by making shivs in the shape of #Emmys?,777681001308889088,1
28,,BraindamagedFr,Tu as raté le début de la Cérémonie #Emmys  Le recap des récompense et du palmares so far est ici &gt;&gt;&gt; https://t.co/cSvBfP9FUk,777681000956567552,1
29,,AlphaDelta33,Awww loved Sarah Paulson's speech!  #Emmys,777681001640177665,0
30,,FIDM,"Yay! Congratulations @MsSarahPaulson for playing Marcia Clark in ""People v. O.J. Simpson."" #Emmys https://t.co/tEI6GoIEFB",777681000805478400,1
31,,BarefootLympho,"@MsSarahPaulson BRILLIANT! What a beautiful , classy, speech! Celebrating women. Truth. LOVE!!!!! #Emmys #ilovehollandtaylortoo",777681001279393792,1
32,,Anx_ty,YAYYY Sarah Paulson que bella #Emmys,777681001610870784,0
33,,fuckingalzc,AAAAAAAAAHHHHHHH 💜💜💜💜 https://t.co/BeWf6W4ruC,777681001451491328,1
34,,disla_rafael,FINALLY! https://t.co/6tSBw8s7k7,777681003821359104,1
35,,dovblerainbow,RAINHA DO CARALHOOOOOOOO AMEI https://t.co/47t0mK0dB6,777681003930324992,1
36,,os_geeks,"Com 22 indicações, ""The People v. O.J. Simpson: American Crime Story"" já levou sete prêmios até agora...
#Emmys",777681004563685376,0
37,,circumambiennt,sarah paulson a coisa mais linda deixa eu te bja #Emmys,777681004832100352,0
38,,beabuzati,eita discurso bom o da Sarah #Emmys,777681005004091396,0
39,,kphbritt,Claire Danes looks radioactive #Emmys,777681005301817344,1
40,,sincerelySharia,😍 https://t.co/cSRd77ly5Q,777681004966256640,1
41,,A_Janowiak,TV SERIES' GOD and GODDESS! #Emmys2016 #Emmys https://t.co/qmCqfDp3Og,777681004383330304,1
42,,Queen_Daenerys_,Emilia Clarke is adorable 😍 #Emmys https://t.co/dZ12oscjFx,777681004282675200,1
43,,ailmadoshade,Eu to muito feliz com todos os prêmios de #AmericanCrimeStory. Que série. Que elenco. Que história. #Emmys,777681005448687616,0
44,,_k4t,"Omg I am so happy @MsSarahPaulson won her Emmy!! So so deserved, she was the main reason I watched OJ #Emmys",777681005461331968,1
45,,revistawatt,Ovación al Emmy a mejor actor de miniserie que ha sido para Sterling K. Brown por #AmericanCrimeStory #Emmys https://t.co/iltQiG4cZK,777681005440368640,0
